0,838.16,384.79,659.5,2012.5,627.74,2182.3,2082.1,246.73,1309.2,252.43,613.95,1963.2,2916.8,564.15,2135.4,1020.1,2022.9,576.71,1916.5,2237.6,1350.8,1724,1462.8,385.27,1581.5,1196.5,1327.9
838.16,0,453.37,178.66,1174.3,210.42,1344.2,1244,591.43,471.04,585.73,224.21,2801.4,2078.6,274.01,1297.2,181.91,1184.7,261.45,1078.4,1399.5,512.65,885.82,624.62,452.89,743.38,358.33,489.76
384.79,453.37,0,274.7,1627.7,242.95,1797.5,1697.3,138.07,924.41,132.37,229.16,2348,2532,179.36,1750.6,635.28,1638.1,191.92,1531.8,1852.9,966.02,1339.2,1078,0.47996,1196.7,811.69,943.12
659.5,178.66,274.7,0,1353,31.758,1522.8,1422.6,412.77,649.7,407.07,45.546,2622.7,2257.3,95.347,1475.9,360.58,1363.4,82.788,1257.1,1578.1,691.32,1064.5,803.28,274.22,922.04,536.99,668.42
2012.5,1174.3,1627.7,1353,0,1384.7,169.84,69.643,1765.8,703.28,1760.1,1398.5,3975.7,904.29,1448.3,122.9,992.41,10.369,1435.8,95.936,225.16,661.67,288.5,549.71,1627.2,430.95,816,684.57
627.74,210.42,242.95,31.758,1384.7,0,1554.6,1454.4,381.01,681.46,375.31,13.788,2591,2289,63.589,1507.6,392.34,1395.1,51.03,1288.8,1609.9,723.07,1096.2,835.04,242.47,953.8,568.75,700.18
2182.3,1344.2,1797.5,1522.8,169.84,1554.6,0,100.19,1935.6,873.12,1929.9,1568.4,4145.5,734.45,1618.2,46.936,1162.2,159.47,1605.6,265.77,55.323,831.51,458.34,719.55,1797.1,600.79,985.84,854.41
2082.1,1244,1697.3,1422.6,69.643,1454.4,100.19,0,1835.4,772.93,1829.7,1468.2,4045.3,834.65,1518,53.258,1062.1,59.275,1505.4,165.58,155.52,731.32,358.15,619.35,1696.9,500.59,885.64,754.21
246.73,591.43,138.07,412.77,1765.8,381.01,1935.6,1835.4,0,1062.5,5.6979,367.22,2209.9,2670,317.42,1888.7,773.35,1776.1,329.98,1669.8,1990.9,1104.1,1477.3,1216,138.55,1334.8,949.76,1081.2
1309.2,471.04,924.41,649.7,703.28,681.46,873.12,772.93,1062.5,0,1056.8,695.25,3272.4,1607.6,745.05,826.19,289.13,713.65,732.49,607.35,928.44,41.61,414.78,153.57,923.93,272.33,112.72,18.716
