0,557.88,1607.7,2760.7,416.34,1813,628.32,2687.2,1739.3,603.78,751.91,185.97,1437.4,1561.1,633.6,1278.4,772.05
557.88,0,1049.8,2202.8,974.22,1255.2,70.443,2129.4,1181.4,45.9,194.03,371.91,879.55,1003.3,75.725,720.57,214.17
1607.7,1049.8,0,1153,2024,205.36,979.35,1079.6,131.58,1003.9,855.76,1421.7,170.24,46.521,974.07,329.23,835.62
2760.7,2202.8,1153,0,3177,947.66,2132.4,73.452,1021.4,2156.9,2008.8,2574.7,1323.3,1199.5,2127.1,1482.3,1988.6
416.34,974.22,2024,3177,0,2229.4,1044.7,3103.6,2155.6,1020.1,1168.3,602.31,1853.8,1977.5,1049.9,1694.8,1188.4
1813,1255.2,205.36,947.66,2229.4,0,1184.7,874.21,73.776,1209.3,1061.1,1627.1,375.6,251.88,1179.4,534.59,1041
628.32,70.443,979.35,2132.4,1044.7,1184.7,0,2058.9,1110.9,24.543,123.59,442.35,809.11,932.83,5.2821,650.12,143.73
2687.2,2129.4,1079.6,73.452,3103.6,874.21,2058.9,0,947.99,2083.5,1935.3,2501.3,1249.8,1126.1,2053.6,1408.8,1915.2
1739.3,1181.4,131.58,1021.4,2155.6,73.776,1110.9,947.99,0,1135.5,987.34,1553.3,301.82,178.11,1105.7,460.81,967.2
603.78,45.9,1003.9,2156.9,1020.1,1209.3,24.543,2083.5,1135.5,0,148.13,417.81,833.65,957.37,29.825,674.67,168.27
751.91,194.03,855.76,2008.8,1168.3,1061.1,123.59,1935.3,987.34,148.13,0,565.94,685.52,809.24,118.31,526.53,20.141
185.97,371.91,1421.7,2574.7,602.31,1627.1,442.35,2501.3,1553.3,417.81,565.94,0,1251.5,1375.2,447.63,1092.5,586.08
1437.4,879.55,170.24,1323.3,1853.8,375.6,809.11,1249.8,301.82,833.65,685.52,1251.5,0,123.72,803.83,158.98,665.38
1561.1,1003.3,46.521,1199.5,1977.5,251.88,932.83,1126.1,178.11,957.37,809.24,1375.2,123.72,0,927.55,282.7,789.1
633.6,75.725,974.07,2127.1,1049.9,1179.4,5.2821,2053.6,1105.7,29.825,118.31,447.63,803.83,927.55,0,644.84,138.45
1278.4,720.57,329.23,1482.3,1694.8,534.59,650.12,1408.8,460.81,674.67,526.53,1092.5,158.98,282.7,644.84,0,506.39
772.05,214.17,835.62,1988.6,1188.4,1041,143.73,1915.2,967.2,168.27,20.141,586.08,665.38,789.1,138.45,506.39,0
